Ticker,Short Name,GICS Sector,GICS Ind Name,Curr Adj Mkt Cap,Mrkt Cap Sum,Weight,EV,ESG Score,UN Glob Comp Sign,% Women on Bd,GHG Scp 1 Est,GHG Scp 1 2 Watrfll Per Sale,Cntry Terrtry Of Rsk,Clmt Rsk Phys Lvl,Clmt Rsk Phys Cat,Fossl Fl Op Rev Pct,Oil Op Rev Pct,Coal Op Rev Pct,Tgt Temp Rise Scp 1 And 2 ST,Comp Clm Sci Bse Emiss Targts,Comp Clm Net 0 Emiss Tgt,Invt In Sustain Prods
700 HK,TENCENT,Communication Services,Interactive Media & Services,443464.3105,99429445.9,0.0045,3230796.481,2.869999886,Y,25,228.545,35.637,CN,97,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
UNH UN,UNITEDHEALTH GRP,Health Care,Health Care Providers & Servic,443137.8021,99429445.9,0.0045,494294.8021,6.340000153,#N/A N/A,30,270.5,1.608,US,86,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
MA UN,MASTERCARD INC-A,Financials,Financial Services,411681.0691,99429445.9,0.0041,419718.0691,5.019999981,Y,33.33330154,5.141,0.173,US,#N/A N/A,#N/A N/A,0,0,0,1.68,Y,Y,#N/A N/A
MC FP,LVMH MOET HENNE,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",398157.5938,99429445.9,0.004,396169.0645,4.099999905,Y,43.75,73.12,2.52,FR,82,High Risk,0,0,0,1.06,Y,#N/A N/A,#N/A N/A
PG UN,PROCTER & GAMBLE,Consumer Staples,Household Products,383427.5779,99429445.9,0.0039,409657.5779,5.159999847,#N/A N/A,46.15380096,2152.929,28.736,US,81,High Risk,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
ASML NA,ASML HOLDING NV,Information Technology,Semiconductors & Semiconductor,381604.8588,99429445.9,0.0038,351239.9132,6.690000057,#N/A N/A,44.44440079,19.598,1.274,NL,89,High Risk,0,0,0,0,Y,Y,#N/A N/A
COST UW,COSTCO WHOLESALE,Consumer Staples,Consumer Staples Distribution,363322.9413,99429445.9,0.0037,362434.9413,3.25999999,#N/A N/A,33.33330154,1543.995,14.088,US,76,Moderate Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
JNJ UN,JOHNSON&JOHNSON,Health Care,Pharmaceuticals,349473.8842,99429445.9,0.0035,356887.8842,6.420000076,#N/A N/A,46.15380096,426.671,14.033,US,83,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
7203 JT,TOYOTA MOTOR,Consumer Discretionary,Automobiles,335656.0898,99429445.9,0.0034,44888868.24,5.869999886,N,10,2420.469,19.859,JP,84,High Risk,0,0,0,2.04,Y,Y,#N/A N/A
HD UN,HOME DEPOT INC,Consumer Discretionary,Specialty Retail,326270.8156,99429445.9,0.0033,373281.8156,5.809999943,#N/A N/A,30.76919937,597.173,11.502,US,78,Moderate Risk,0,0,0,3.2,Y,#N/A N/A,#N/A N/A
ORCL UN,ORACLE CORP,Information Technology,Software,323555.0681,99429445.9,0.0033,402162.5829,3.640000105,N,33.33330154,10.434,5.695,US,84,High Risk,0,0,0,2.02,Y,Y,#N/A N/A
MRK UN,MERCK & CO,Health Care,Pharmaceuticals,320273.3575,99429445.9,0.0032,348502.7804,5.840000153,#N/A N/A,46.15380096,703.273,20.554,US,75,Moderate Risk,0,0,0,3.2,Y,#N/A N/A,#N/A N/A
005930 KP,SAMSUNG ELECTRON,Information Technology,"Technology Hardware, Storage &",319060.9697,99429445.9,0.0032,366610866.4,5.070000172,#N/A N/A,18.18180084,5417.803,96.279,KR,88,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
BAC UN,BANK OF AMERICA,Financials,Banks,301357.9697,99429445.9,0.003,#N/A N/A,5.260000229,Y,38.46149826,83.968,5.987,US,86,High Risk,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
CVX UN,CHEVRON CORP,Energy,"Oil, Gas & Consumable Fuels",291525.5613,99429445.9,0.0029,308113.5613,5.440000057,#N/A N/A,50,51635.677,312.728,US,86,High Risk,100,100,0,#N/A Field Not Applicable,#N/A N/A,Y,#N/A N/A
600519 C1,KWEICHOW MOUTA-A,Consumer Staples,Beverages,286407.3931,99429445.9,0.0029,2003871.632,3.75999999,N,28.57139969,284.362,12.947,CN,87,High Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
NFLX UW,NETFLIX INC,Communication Services,Entertainment,279265.3142,99429445.9,0.0028,288731.1812,3.539999962,#N/A N/A,30.76919937,49.924,3.459,US,88,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
ABBV UN,ABBVIE INC,Health Care,Biotechnology,274610.0986,99429445.9,0.0028,330643.904,4.829999924,Y,30.76919937,314.566,9.148,US,88,High Risk,0,0,0,2.04,Y,#N/A N/A,#N/A N/A
NESN SE,NESTLE SA-REG,Consumer Staples,Food Products,272869.557,99429445.9,0.0027,295874.8,5.210000038,Y,33.33330154,3182.863,36.106,US,83,High Risk,0,0,0,1.97,Y,Y,#N/A N/A
AMD UW,ADV MICRO DEVICE,Information Technology,Semiconductors & Semiconductor,270894.2048,99429445.9,0.0027,267905.6942,6.679999828,#N/A N/A,33.33330154,12.429,4.27,US,73,Moderate Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
KO UN,COCA-COLA CO/THE,Consumer Staples,Beverages,266834.7517,99429445.9,0.0027,293982.7517,5.260000229,#N/A N/A,50,651.486,34.158,US,83,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
OR FP,L'OREAL,Consumer Staples,Personal Care Products,257766.9741,99429445.9,0.0026,242170.7187,5.440000057,Y,43.75,60.913,2.292,FR,84,High Risk,0,0,0,0.21,Y,Y,#N/A N/A
601398 C1,IND & COMM BK-A,Financials,Banks,252421.629,99429445.9,0.0025,#N/A N/A,1.769999981,N,15.38459969,113.725,9.86,CN,98,High Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
1398 HK,ICBC-H,Financials,Banks,252402.0047,99429445.9,0.0025,#N/A N/A,1.769999981,N,15.38459969,113.725,9.86,CN,98,High Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
601857 C1,PETROCHINA CO-A,Energy,"Oil, Gas & Consumable Fuels",249841.1031,99429445.9,0.0025,2091025.815,4.110000134,Y,8.333330154,148895.536,434.963,CN,82,High Risk,100,82.2463,0,#N/A Field Not Applicable,N,N,#N/A N/A
857 HK,PETROCHINA-H,Energy,"Oil, Gas & Consumable Fuels",249821.6799,99429445.9,0.0025,2091025.84,4.110000134,Y,8.333330154,148895.536,434.963,CN,82,High Risk,100,82.2463,0,#N/A Field Not Applicable,N,N,#N/A N/A
RMS FP,HERMES INTL,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",248443.2462,99429445.9,0.0025,220628.1935,3.450000048,Y,50,18.476,1.638,FR,86,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
AZN LN,ASTRAZENECA PLC,Health Care,Pharmaceuticals,237571.5725,99429445.9,0.0024,264110.9611,5.28000021,Y,46.15380096,207.726,4.741,GB,83,High Risk,0,0,0,0.68,Y,Y,#N/A N/A
PEP UW,PEPSICO INC,Consumer Staples,Beverages,234662.2189,99429445.9,0.0024,272281.9753,5.510000229,#N/A N/A,33.33330154,3566.857,63.243,US,79,Moderate Risk,0,0,0,3.2,Y,Y,#N/A N/A
RELIANCE IS,RELIANCE INDS,Energy,"Oil, Gas & Consumable Fuels",231602.7138,99429445.9,0.0023,22031882.93,3.900000095,N,15.38459969,40763.892,361.133,IN,90,High Risk,70.0631,70.0631,0,#N/A Field Not Applicable,N,Y,#N/A N/A
QCOM UW,QUALCOMM INC,Information Technology,Semiconductors & Semiconductor,229862.52,99429445.9,0.0023,231468.52,7.519999981,#N/A N/A,33.33330154,111.276,7.072,US,83,High Risk,0,0,0,1.99,Y,Y,#N/A N/A
SHEL LN,SHELL PLC,Energy,"Oil, Gas & Consumable Fuels",226491.6817,99429445.9,0.0023,268169.2442,7.179999828,Y,41.66669846,51429.621,194.675,US,80,High Risk,85.8427,73.9514,0,2.37,Y,Y,24400
SAP GY,SAP SE,Information Technology,Software,224497.7411,99429445.9,0.0023,203350.2434,4.760000229,Y,44.44440079,102.555,9.913,DE,#N/A N/A,#N/A N/A,0,0,0,0,Y,Y,#N/A N/A
NOVN SE,NOVARTIS AG-REG,Health Care,Pharmaceuticals,221028.1593,99429445.9,0.0022,238768.8791,4.920000076,Y,30.76919937,245.273,6.909,CH,80,Moderate Risk,0,0,0,0.21,Y,Y,#N/A N/A
TMO UN,THERMO FISHER,Health Care,Life Sciences Tools & Services,214726.8832,99429445.9,0.0022,243191.8832,4.139999866,#N/A N/A,33.33330154,380.209,20.383,US,81,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
PDD UW,PDD HOLDINGS INC,Consumer Discretionary,Broadline Retail,211162.572,99429445.9,0.0021,1294623.586,1.980000019,N,16.66670036,148.383,8.721,CN,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
601288 C1,AGRICULTURAL-A,Financials,Banks,206985.8172,99429445.9,0.0021,#N/A N/A,2.390000105,Y,15.38459969,241.201,12.362,CN,93,High Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
RO SE,ROCHE HOLDING-BR,Health Care,Pharmaceuticals,206979.917,99429445.9,0.0021,211309.1526,4.139999866,Y,36.36360168,200.162,5.615,US,81,High Risk,0,0,0,#N/A Field Not Applicable,Y,Y,#N/A N/A
ROG SE,ROCHE HLDG-GENUS,Health Care,Pharmaceuticals,206979.917,99429445.9,0.0021,211309.1526,4.139999866,Y,36.36360168,200.162,5.615,US,81,High Risk,0,0,0,#N/A Field Not Applicable,Y,Y,#N/A N/A
1288 HK,ABC-H,Financials,Banks,206969.7256,99429445.9,0.0021,#N/A N/A,2.390000105,Y,15.38459969,241.201,12.362,CN,93,High Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
CRM UN,SALESFORCE INC,Information Technology,Software,207084.99,99429445.9,0.0021,201930.99,5.449999809,Y,30.76919937,5.589,2.422,US,#N/A N/A,#N/A N/A,0,0,0,3.2,Y,Y,#N/A N/A
WFC UN,WELLS FARGO & CO,Financials,Banks,206633.9113,99429445.9,0.0021,#N/A N/A,5.079999924,#N/A N/A,38.46149826,94.284,7.857,US,79,Moderate Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
LIN UW,LINDE PLC,Materials,Chemicals,206219.7381,99429445.9,0.0021,223090.7381,6.260000229,#N/A N/A,20,17382.774,1219.749,US,77,Moderate Risk,0,0,0,2.58,#N/A N/A,#N/A N/A,#N/A N/A
ADBE UW,ADOBE INC,Information Technology,Software,201922.56,99429445.9,0.002,199148.24,6.039999962,#N/A N/A,33.33330154,6.41,1.701,US,86,High Risk,0,0,0,1.51,Y,Y,#N/A N/A
TMUS UW,T-MOBILE US INC,Communication Services,Wireless Telecommunication Ser,199332.4095,99429445.9,0.002,308286.4095,5.320000172,#N/A N/A,21.42860031,95.135,40.749,US,81,High Risk,0,0,0,0.33,Y,Y,#N/A N/A
ACN UN,ACCENTURE PLC-A,Information Technology,IT Services,192007.9304,99429445.9,0.0019,190874.4354,5.329999924,Y,50,17.196,0.443,US,86,High Risk,0,0,0,2.31,Y,Y,#N/A N/A
9988 HK,BABA-SW,Consumer Discretionary,Broadline Retail,188817.3229,99429445.9,0.0019,905444.4046,3.180000067,#N/A N/A,30,#N/A N/A,4.814,CN,84,High Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
CSCO UW,CISCO SYSTEMS,Information Technology,Communications Equipment,187112.935,99429445.9,0.0019,200356.1809,4.75,Y,36.36360168,32.054,2.255,US,82,High Risk,0,0,0,2.57,Y,Y,#N/A N/A
DHR UN,DANAHER CORP,Health Care,Life Sciences Tools & Services,186771.5182,99429445.9,0.0019,199008.5182,4.480000019,#N/A N/A,28.57139969,127,14.886,US,77,Moderate Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
DIS UN,WALT DISNEY CO/T,Communication Services,Entertainment,185494.6279,99429445.9,0.0019,229669.6279,4.300000191,#N/A N/A,#N/A N/A,910.889,20.648,US,86,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
601939 C1,CHINA CONST BA-A,Financials,Banks,181561.4287,99429445.9,0.0018,#N/A N/A,2.769999981,#N/A N/A,20,81.514,8.864,CN,32,Low Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
939 HK,CCB-H,Financials,Banks,181547.3113,99429445.9,0.0018,#N/A N/A,2.769999981,#N/A N/A,20,81.514,8.864,CN,32,Low Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
MCD UN,MCDONALDS CORP,Consumer Discretionary,"Hotels, Restaurants & Leisure",181352.3319,99429445.9,0.0018,231445.7796,4.340000153,#N/A N/A,33.33330154,113.28,18.316,US,77,Moderate Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
AMAT UW,APPLIED MATERIAL,Information Technology,Semiconductors & Semiconductor,180440.5543,99429445.9,0.0018,178792.5543,6.539999962,#N/A N/A,30,65.47,9.701,US,83,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
GE UN,GENERAL ELECTRIC,Industrials,Aerospace & Defense,180292.6656,99429445.9,0.0018,159623.6656,5.940000057,#N/A N/A,33.33330154,672.093,25.04,US,78,Moderate Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
TXN UW,TEXAS INSTRUMENT,Information Technology,Semiconductors & Semiconductor,177088.7774,99429445.9,0.0018,180830.1485,5.090000153,#N/A N/A,33.33330154,1124.528,151.42,US,84,High Risk,0,0,0,2.04,#N/A N/A,#N/A N/A,#N/A N/A
ABT UN,ABBOTT LABS,Health Care,Health Care Equipment & Suppli,176381.4668,99429445.9,0.0018,184278.4668,5.349999905,#N/A N/A,41.66669846,517.924,27.685,US,80,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
AXP UN,AMERICAN EXPRESS,Financials,Consumer Finance,169870.609,99429445.9,0.0017,166225.609,4.170000076,#N/A N/A,28.57139969,25.741,1.975,US,62,Moderate Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
TTE FP,TOTALENERGIES SE,Energy,"Oil, Gas & Consumable Fuels",168979.2733,99429445.9,0.0017,180725.985,6.849999905,Y,42.85710144,32777.711,167.912,FR,87,High Risk,45.7857,40.6882,0,2.2,Y,Y,#N/A N/A
VZ UN,VERIZON COMMUNIC,Communication Services,Diversified Telecommunication,169043.6765,99429445.9,0.0017,343620.4914,5.239999771,#N/A N/A,33.33330154,304.184,32.48,US,76,Moderate Risk,0,0,0,1.19,#N/A N/A,#N/A N/A,#N/A N/A
601988 C1,BANK OF CHINA-A,Financials,Banks,168200.7422,99429445.9,0.0017,#N/A N/A,2.170000076,N,0,87.233,10.022,CN,95,High Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
3988 HK,BANK OF CHINA-H,Financials,Banks,168187.6655,99429445.9,0.0017,#N/A N/A,2.170000076,N,0,87.233,10.022,CN,95,High Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
CAT UN,CATERPILLAR INC,Industrials,Machinery,166600.7367,99429445.9,0.0017,172227.7367,4.610000134,#N/A N/A,30,677.17,23.221,US,83,High Risk,0,0,0,#N/A Field Not Applicable,Y,#N/A N/A,#N/A N/A
HSBA LN,HSBC HOLDINGS PL,Financials,Banks,165564.0178,99429445.9,0.0017,#N/A N/A,3.75999999,Y,46.66669846,25.269,1.495,GB,91,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
TCS IS,TATA CONSULTANCY,Information Technology,IT Services,162369.3024,99429445.9,0.0016,13163086.78,4.460000038,Y,22.22220039,20.12,3.566,IN,80,High Risk,0,0,0,0.92,Y,Y,#N/A N/A
AMGN UW,AMGEN INC,Health Care,Biotechnology,162174.9361,99429445.9,0.0016,216604.9517,5.050000191,Y,23.07690048,129.314,10.622,US,83,High Risk,0,0,0,0,Y,#N/A N/A,#N/A N/A
NEE UN,NEXTERA ENERGY,Utilities,Electric Utilities,159159.75,99429445.9,0.0016,248202.75,6.199999809,#N/A N/A,38.46149826,50916.732,1959.252,US,90,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
PFE UN,PFIZER INC,Health Care,Pharmaceuticals,158522.9363,99429445.9,0.0016,216409.9363,5.190000057,#N/A N/A,33.33330154,561.451,20.15,US,81,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
INTU UW,INTUIT INC,Information Technology,Software,158450.0351,99429445.9,0.0016,160270.0351,4.599999905,N,36.36360168,5.141,2.026,US,87,High Risk,0,0,0,1.76,Y,Y,#N/A N/A
MS UN,MORGAN STANLEY,Financials,Capital Markets,157429.5084,99429445.9,0.0016,314887.5084,5.329999924,#N/A N/A,30.76919937,35.716,3.397,US,77,Moderate Risk,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
PM UN,PHILIP MORRIS IN,Consumer Staples,Tobacco,154336.4156,99429445.9,0.0016,202470.3244,6.53000021,#N/A N/A,25,295.051,11.474,US,79,Moderate Risk,0,0,0,3.2,Y,Y,#N/A N/A
RY CT,ROYAL BANK OF CA,Financials,Banks,152876.027,99429445.9,0.0015,#N/A N/A,4.800000191,#N/A N/A,38.46149826,28.745,0.304,CA,95,High Risk,0,0,0,0.45,#N/A N/A,Y,48
SIE GY,SIEMENS AG-REG,Industrials,Industrial Conglomerates,152731.2594,99429445.9,0.0015,180737,6.510000229,Y,45,356.605,7.072,DE,81,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
CMCSA UW,COMCAST CORP-A,Communication Services,Media,151962.0368,99429445.9,0.0015,242802.2731,3.289999962,#N/A N/A,18.18180084,498.415,16.544,US,89,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
IBM UN,IBM,Information Technology,IT Services,152010.3692,99429445.9,0.0015,195838.3692,5.159999847,#N/A N/A,21.42860031,69.572,6.986,US,82,High Risk,0,0,0,1.65,#N/A N/A,#N/A N/A,#N/A N/A
GS UN,GOLDMAN SACHS GP,Financials,Capital Markets,150687.7139,99429445.9,0.0015,311169.7139,4.960000038,#N/A N/A,38.46149826,14.997,0.23,US,76,Moderate Risk,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
ITX SQ,INDITEX,Consumer Discretionary,Specialty Retail,149868.0715,99429445.9,0.0015,132429.6827,5.099999905,Y,40,12.785,0.32,ES,80,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
BHP AT,BHP GROUP LTD,Materials,Metals & Mining,149269.9591,99429445.9,0.0015,165453.9832,7.460000038,Y,40,8499.431,190.463,AU,90,High Risk,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
BX UN,BLACKSTONE INC,Financials,Capital Markets,144701.7355,99429445.9,0.0015,160181.4938,2.460000038,#N/A N/A,30,0.691,1.772,US,88,High Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
ISRG UW,INTUITIVE SURGIC,Health Care,Health Care Equipment & Suppli,142141.2641,99429445.9,0.0014,137382.3994,3.329999924,#N/A N/A,41.66669846,7.805,5.246,US,89,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
SU FP,SCHNEIDER ELECTR,Industrials,Electrical Equipment,141981.1503,99429445.9,0.0014,140921.9249,7.550000191,Y,50,112.794,5.633,US,83,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
MU UW,MICRON TECH,Information Technology,Semiconductors & Semiconductor,141732.0444,99429445.9,0.0014,146456.897,5.900000095,#N/A N/A,50,2079.793,370.639,US,71,Moderate Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
NKE UN,NIKE INC -CL B,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",140687.3344,99429445.9,0.0014,142215.3344,4.869999886,Y,33.33330154,46.362,1.441,US,83,High Risk,0,0,0,0,Y,Y,#N/A N/A
RTX UN,RTX CORP,Industrials,Aerospace & Defense,140369.2449,99429445.9,0.0014,180668.2449,4.690000057,#N/A N/A,30.76919937,495.29,22.802,US,79,Moderate Risk,0,0,0,3.2,Y,Y,#N/A N/A
UNP UN,UNION PAC CORP,Industrials,Ground Transportation,138638.0498,99429445.9,0.0014,170959.0498,4.940000057,#N/A N/A,33.33330154,10500.838,482.452,US,72,Moderate Risk,7.9439,0,7.9439,3.2,#N/A N/A,#N/A N/A,#N/A N/A
HDFCB IS,HDFC BANK LTD,Financials,Banks,138365.4382,99429445.9,0.0014,#N/A N/A,3.539999962,N,30,28.414,13.743,IN,#N/A N/A,#N/A N/A,0,0,0,1.94,N,Y,#N/A N/A
AIR FP,AIRBUS SE,Industrials,Aerospace & Defense,136640.7259,99429445.9,0.0014,115758.334,5.510000229,Y,33.33330154,564.495,9.855,FR,84,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
ULVR LN,UNILEVER PLC,Consumer Staples,Personal Care Products,135782.4052,99429445.9,0.0014,151540.4996,4.800000191,#N/A N/A,41.66669846,608.39,12.248,GB,85,High Risk,0,0,0,1.09,Y,Y,#N/A N/A
SPGI UN,S&P GLOBAL INC,Financials,Capital Markets,135270.087,99429445.9,0.0014,149981.087,5.659999847,Y,38.46149826,3.533,1.686,US,90,High Risk,0,0,0,1.68,Y,Y,#N/A N/A
UBER UN,UBER TECHNOLOGIE,Industrials,Ground Transportation,133959.1534,99429445.9,0.0013,140777.2582,5.860000134,#N/A N/A,36.36360168,1.718,2.429,US,#N/A N/A,#N/A N/A,0,0,0,3.2,Y,Y,#N/A N/A
ETN UN,EATON CORP PLC,Industrials,Electrical Equipment,133875.8715,99429445.9,0.0013,141254.8715,7.949999809,#N/A N/A,30,227.913,39.387,US,81,High Risk,0,0,0,2.15,#N/A N/A,#N/A N/A,#N/A N/A
NOW UN,SERVICENOW INC,Information Technology,Software,132714.95,99429445.9,0.0013,129912.8,5.010000229,#N/A N/A,36.36360168,2.672,6.696,US,#N/A N/A,#N/A N/A,0,0,0,0.45,#N/A N/A,#N/A N/A,#N/A N/A
COP UN,CONOCOPHILLIPS,Energy,"Oil, Gas & Consumable Fuels",132648.5436,99429445.9,0.0013,145004.5436,6.329999924,#N/A N/A,16.66670036,12574.132,265.471,US,71,Moderate Risk,100,76.2491,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
